Table	Field	Number	Type_Code	Type_Name	Index_Count	Unique	Invisible
Focus	scaseID	1	0	Alpha Field	1	True	False
Focus	hsysID	2	0	Alpha Field	0	False	False
Focus	schedDTS	3	0	Alpha Field	0	False	False
Focus	facilityName	4	0	Alpha Field	0	False	False
Focus	orName	5	0	Alpha Field	0	False	False
Focus	caseSeq	6	0	Alpha Field	0	False	False
Focus	desc	7	0	Alpha Field	0	False	False
Focus	status	8	0	Alpha Field	0	False	False
Focus	transportFrom	9	0	Alpha Field	0	False	False
Focus	surgeonName	10	0	Alpha Field	0	False	False
Focus	procName	11	0	Alpha Field	0	False	False
