table_number	count
1	24
2	79
5	17
6	12
13	581098
14	10
15	39386
16	531
17	54811
18	400519
19	41
20	71712
21	252
23	31016
25	68
27	716
28	4
29	6
30	163
41	1248
42	1165156
44	54
45	3773
46	245
47	397
48	25
49	17034
51	124932
52	185418
53	450381
54	154862
55	949
56	385750
57	7
58	7
59	20690
60	14260
61	3
63	34474
64	636
65	1433476
66	1131589
67	101189
68	3017332
69	55680
70	100036
71	638
73	133459
74	609032
75	309
80	5327
81	15
82	163
83	14637
85	202
86	665
87	1718
90	21
91	43
92	4
93	15223
99	189
100	9942
128	400
134	3
135	1
137	68053
139	134310
140	460
141	10
142	71
144	25
146	112
147	134
148	607
149	135
150	18419
151	3121
154	616253
155	2424
156	166
157	40
160	12
161	7
165	2
166	4
167	262
168	30
169	2
175	5
177	23
178	195
179	1522
180	10
181	11
182	4
183	7748
187	4
188	2
189	11
191	4867
192	123
193	12
194	12
195	2
198	551643
202	52
203	5
